tram_id,direction_id,route,interpolated_route,direction
1,0,317;103;169;105;106;296;299;163;304;220;292;217;291;193,"45.809613,15.955034;45.810475499999995,15.955707;45.811338,15.95638;45.8122005,15.957052999999998;45.813063,15.957726;45.8128744,15.959087799999999;45.8126858,15.960449599999999;45.8124972,15.9618114;45.8123086,15.9631732;45.81212,15.964535;45.8122885,15.96580075;45.812456999999995,15.9670665;45.812625499999996,15.96833225;45.812794,15.969598;45.81283883333333,15.970881333333333;45.812883666666664,15.972164666666666;45.8129285,15.973448;45.81297333333333,15.974731333333333;45.813018166666666,15.976014666666666;45.813063,15.977298;45.8128305,15.978493666666665;45.812598,15.979689333333333;45.8123655,15.980885;45.812132999999996,15.982080666666667;45.8119005,15.983276333333333;45.811668,15.984472;45.81099533333333,15.985702666666667;45.810322666666664,15.986933333333333;45.80965,15.988164;45.809743999999995,15.989316599999999;45.809838,15.9904692;45.809931999999996,15.991621799999999;45.810026,15.9927744;45.81012,15.993927;45.81042033333333,15.995171333333333;45.81072066666666,15.996415666666666;45.811021,15.99766;45.81120133333333,15.998772333333333;45.81138166666667,15.999884666666668;45.811562,16.000997;45.812124000000004,16.002229333333336;45.812686,16.003461666666666;45.813248,16.004694;45.813766666666666,16.005961666666668;45.81428533333334,16.00722933333333;45.814804,16.008497;45.81493925,16.009691999999998;45.8150745,16.010886999999997;45.81520975,16.012082;45.815345,16.013277;45.81508025,16.0146115;45.8148155,16.015946;45.81455075,16.0172805;45.814286,16.018615",0.07336488879114425
1,1,193;291;217;292;220;304;163;299;296;106;105;169;103;293;317,"45.814286,16.018615;45.81455075,16.0172805;45.8148155,16.015946;45.81508025,16.0146115;45.815345,16.013277;45.81520975,16.012082;45.8150745,16.010886999999997;45.81493925,16.009691999999998;45.814804,16.008497;45.81428533333334,16.00722933333333;45.813766666666666,16.005961666666668;45.813248,16.004694;45.812686,16.003461666666666;45.812124000000004,16.002229333333336;45.811562,16.000997;45.81138166666667,15.999884666666668;45.81120133333333,15.998772333333333;45.811021,15.99766;45.81072066666666,15.996415666666666;45.81042033333333,15.995171333333333;45.81012,15.993927;45.810002499999996,15.992486249999999;45.809884999999994,15.991045499999998;45.8097675,15.98960475;45.80965,15.988164;45.810154499999996,15.987241;45.810659,15.986318;45.8111635,15.985395;45.811668,15.984472;45.8119005,15.983276333333333;45.812132999999996,15.982080666666667;45.8123655,15.980885;45.812598,15.979689333333333;45.8128305,15.978493666666665;45.813063,15.977298;45.813018166666666,15.976014666666666;45.81297333333333,15.974731333333333;45.8129285,15.973448;45.812883666666664,15.972164666666666;45.81283883333333,15.970881333333333;45.812794,15.969598;45.812625499999996,15.96833225;45.812456999999995,15.9670665;45.8122885,15.96580075;45.81212,15.964535;45.8123086,15.9631732;45.8124972,15.9618114;45.8126858,15.960449599999999;45.8128744,15.959087799999999;45.813063,15.957726;45.81221375,15.957567999999998;45.811364499999996,15.95741;45.81051525,15.957252;45.809666,15.957094;45.809613,15.955034",-3.068227764798649
2,0,98;100;101;102;103;293;188;224;194;109;111;112;113;114;251;263;221;203;225;213;214;198;187;212;249;313;266,"45.815146,15.934932;45.814855666666666,15.936296;45.814565333333334,15.93766;45.814274999999995,15.939024;45.81398466666666,15.940388;45.81369433333333,15.941752;45.813404,15.943116;45.8132082,15.944257;45.8130124,15.945398;45.8128166,15.946539;45.8126208,15.94768;45.812425,15.948821;45.8124485,15.950667500000002;45.812472,15.952514;45.8125902,15.9535564;45.8127084,15.9545988;45.8128266,15.9556412;45.8129448,15.9566836;45.813063,15.957726;45.81193066666667,15.957515333333333;45.81079833333333,15.957304666666666;45.809666,15.957094;45.8092718,15.9580846;45.8088776,15.9590752;45.8084834,15.9600658;45.808089200000005,15.9610564;45.807695,15.962047;45.807309000000004,15.9631658;45.806923000000005,15.964284600000001;45.806537,15.9654034;45.806151,15.9665222;45.805765,15.967641;45.8057118,15.968946;45.8056586,15.970251000000001;45.8056054,15.971556;45.8055522,15.972861;45.805499,15.974166;45.80540575,15.975428;45.8053125,15.976690000000001;45.80521925,15.977952;45.805126,15.979214;45.805219666666666,15.980928666666667;45.80531333333334,15.982643333333334;45.805407,15.984358;45.80551883333334,15.9856225;45.805630666666666,15.986887;45.8057425,15.9881515;45.805854333333336,15.989416;45.805966166666664,15.9906805;45.806078,15.991945;45.805413,15.992602666666667;45.804748,15.993260333333334;45.804083,15.993918;45.8033295,15.9944875;45.802576,15.995057;45.8018225,15.9956265;45.801069,15.996196;45.801035,15.99741;45.801001,15.998624;45.800967,15.999838;45.80111866666667,16.001427666666668;45.801270333333335,16.003017333333332;45.801422,16.004607;45.80155883333333,16.005718;45.80169566666667,16.006829;45.8018325,16.007939999999998;45.80196933333333,16.009051;45.80210616666666,16.010162;45.802243,16.011273;45.80249,16.012598;45.802737,16.013923;45.802984,16.015248;45.80320025,16.0165845;45.8034165,16.017921;45.80363275,16.0192575;45.803849,16.020594;45.8040685,16.022107;45.804288,16.02362;45.803924,16.02455225;45.803560000000004,16.0254845;45.803196,16.026416750000003;45.802832,16.027349;45.802199333333334,16.028581333333335;45.801566666666666,16.029813666666666;45.800934,16.031046;45.80045,16.03198;45.799966,16.032913999999998;45.799482,16.033848;45.798998,16.034782;45.79832366666667,16.035753;45.79764933333333,16.036724;45.796975,16.037695;45.7961406,16.0378272;45.7953062,16.0379594;45.794471800000004,16.0380916;45.7936374,16.0382238;45.792803,16.038356;45.791889999999995,16.037636499999998;45.790977,16.036917;45.790085,16.03586;45.789193,16.034803",-0.2542418143782028
2,1,266;313;249;212;187;198;214;213;225;203;221;263;251;114;113;112;111;109;194;224;188;227;103;102;101;100;98,"45.789193,16.034803;45.790085,16.03586;45.790977,16.036917;45.791889999999995,16.037636499999998;45.792803,16.038356;45.7936374,16.0382238;45.794471800000004,16.0380916;45.7953062,16.0379594;45.7961406,16.0378272;45.796975,16.037695;45.79764933333333,16.036724;45.79832366666667,16.035753;45.798998,16.034782;45.799482,16.033848;45.799966,16.032913999999998;45.80045,16.03198;45.800934,16.031046;45.801566666666666,16.029813666666666;45.802199333333334,16.028581333333335;45.802832,16.027349;45.803196,16.026416750000003;45.803560000000004,16.0254845;45.803924,16.02455225;45.804288,16.02362;45.8040685,16.022107;45.803849,16.020594;45.80363275,16.0192575;45.8034165,16.017921;45.80320025,16.0165845;45.802984,16.015248;45.802737,16.013923;45.80249,16.012598;45.802243,16.011273;45.80210616666666,16.010162;45.80196933333333,16.009051;45.8018325,16.007939999999998;45.80169566666667,16.006829;45.80155883333333,16.005718;45.801422,16.004607;45.801270333333335,16.003017333333332;45.80111866666667,16.001427666666668;45.800967,15.999838;45.801001,15.998624;45.801035,15.99741;45.801069,15.996196;45.8018225,15.9956265;45.802576,15.995057;45.8033295,15.9944875;45.804083,15.993918;45.804748,15.993260333333334;45.805413,15.992602666666667;45.806078,15.991945;45.8059438,15.9904276;45.8058096,15.9889102;45.8056754,15.9873928;45.8055412,15.9858754;45.805407,15.984358;45.80533675,15.983072;45.8052665,15.981786;45.80519625,15.980500000000001;45.805126,15.979214;45.80521925,15.977952;45.8053125,15.976690000000001;45.80540575,15.975428;45.805499,15.974166;45.8055522,15.972861;45.8056054,15.971556;45.8056586,15.970251000000001;45.8057118,15.968946;45.805765,15.967641;45.806151,15.9665222;45.806537,15.9654034;45.806923000000005,15.964284600000001;45.807309000000004,15.9631658;45.807695,15.962047;45.808026,15.9609135;45.808357,15.95978;45.808688000000004,15.9586465;45.809019,15.957513;45.81003,15.95756625;45.811041,15.9576195;45.812052,15.95767275;45.813063,15.957726;45.8129448,15.9566836;45.8128266,15.9556412;45.8127084,15.9545988;45.8125902,15.9535564;45.812472,15.952514;45.8124485,15.950667500000002;45.812425,15.948821;45.8126208,15.94768;45.8128166,15.946539;45.8130124,15.945398;45.8132082,15.944257;45.813404,15.943116;45.81369433333333,15.941752;45.81398466666666,15.940388;45.814274999999995,15.939024;45.814565333333334,15.93766;45.814855666666666,15.936296;45.815146,15.934932",2.8873508392115905
3,0,245;275;250;295;190;294;288;314;312;1375;248;239;235;284;114;251;263;221;203;225;213;214;198;187;212;249;313;266,"45.797137,15.938396;45.7972725,15.939799749999999;45.797408000000004,15.9412035;45.7975435,15.94260725;45.797679,15.944011;45.797935,15.945418;45.798191,15.946825;45.798447,15.948232;45.798716,15.9494454;45.798985,15.950658800000001;45.799254,15.9518722;45.799523,15.953085600000001;45.799792,15.954299;45.8001936,15.955355;45.8005952,15.956411000000001;45.8009968,15.957467;45.8013984,15.958523;45.8018,15.959579;45.80217425,15.960746;45.8025485,15.961913;45.80292275,15.96308;45.802728,15.964551;45.8018565,15.964144749999999;45.800985,15.9637385;45.8001135,15.96333225;45.799242,15.962926;45.7993565,15.964109749999999;45.799471,15.9652935;45.7995855,15.96647725;45.7997,15.967661;45.79965133333334,15.968769;45.799602666666665,15.969877;45.799554,15.970985;45.799622666666664,15.972420666666666;45.799691333333335,15.973856333333334;45.79976,15.975292;45.799819,15.976826333333333;45.799878,15.978360666666667;45.799937,15.979895;45.800059,15.9809908;45.800181,15.9820866;45.800303,15.9831824;45.800425000000004,15.9842782;45.800547,15.985374;45.800601,15.98676;45.800655,15.988146;45.800709,15.989532;45.800781,15.9908648;45.800853,15.9921976;45.800925,15.9935304;45.800996999999995,15.9948632;45.801069,15.996196;45.801035,15.99741;45.801001,15.998624;45.800967,15.999838;45.80108075,16.00103025;45.8011945,16.002222500000002;45.801308250000005,16.00341475;45.801422,16.004607;45.8015862,16.0059402;45.8017504,16.0072734;45.801914599999996,16.0086066;45.8020788,16.009939799999998;45.802243,16.011273;45.80249,16.012598;45.802737,16.013923;45.802984,16.015248;45.80320025,16.0165845;45.8034165,16.017921;45.80363275,16.0192575;45.803849,16.020594;45.8040685,16.022107;45.804288,16.02362;45.803924,16.02455225;45.803560000000004,16.0254845;45.803196,16.026416750000003;45.802832,16.027349;45.802199333333334,16.028581333333335;45.801566666666666,16.029813666666666;45.800934,16.031046;45.80045,16.03198;45.799966,16.032913999999998;45.799482,16.033848;45.798998,16.034782;45.79832366666667,16.035753;45.79764933333333,16.036724;45.796975,16.037695;45.7961406,16.0378272;45.7953062,16.0379594;45.794471800000004,16.0380916;45.7936374,16.0382238;45.792803,16.038356;45.791889999999995,16.037636499999998;45.790977,16.036917;45.790085,16.03586;45.789193,16.034803",-0.08221491513492823
3,1,266;313;249;212;187;198;214;213;225;203;221;263;251;114;284;235;239;248;1375;314;288;294;190;295;250;275;245,"45.789193,16.034803;45.790085,16.03586;45.790977,16.036917;45.791889999999995,16.037636499999998;45.792803,16.038356;45.7936374,16.0382238;45.794471800000004,16.0380916;45.7953062,16.0379594;45.7961406,16.0378272;45.796975,16.037695;45.79764933333333,16.036724;45.79832366666667,16.035753;45.798998,16.034782;45.799482,16.033848;45.799966,16.032913999999998;45.80045,16.03198;45.800934,16.031046;45.801566666666666,16.029813666666666;45.802199333333334,16.028581333333335;45.802832,16.027349;45.803196,16.026416750000003;45.803560000000004,16.0254845;45.803924,16.02455225;45.804288,16.02362;45.8040685,16.022107;45.803849,16.020594;45.80363275,16.0192575;45.8034165,16.017921;45.80320025,16.0165845;45.802984,16.015248;45.802737,16.013923;45.80249,16.012598;45.802243,16.011273;45.8020788,16.009939799999998;45.801914599999996,16.0086066;45.8017504,16.0072734;45.8015862,16.0059402;45.801422,16.004607;45.801308250000005,16.00341475;45.8011945,16.002222500000002;45.80108075,16.00103025;45.800967,15.999838;45.801001,15.998624;45.801035,15.99741;45.801069,15.996196;45.800996999999995,15.9948632;45.800925,15.9935304;45.800853,15.9921976;45.800781,15.9908648;45.800709,15.989532;45.800655,15.988146;45.800601,15.98676;45.800547,15.985374;45.800425000000004,15.9842782;45.800303,15.9831824;45.800181,15.9820866;45.800059,15.9809908;45.799937,15.979895;45.799878,15.978360666666667;45.799819,15.976826333333333;45.79976,15.975292;45.799691333333335,15.973856333333334;45.799622666666664,15.972420666666666;45.799554,15.970985;45.799509428571426,15.969833714285715;45.79946485714286,15.968682428571428;45.799420285714284,15.967531142857142;45.799375714285716,15.966379857142858;45.79933114285714,15.965228571428572;45.799286571428574,15.964077285714286;45.799242,15.962926;45.8001135,15.96333225;45.800985,15.9637385;45.8018565,15.964144749999999;45.803297,15.964247;45.80292275,15.96308;45.8025485,15.961913;45.80217425,15.960746;45.8018,15.959579;45.8013984,15.958523;45.8009968,15.957467;45.8005952,15.956411000000001;45.8001936,15.955355;45.799792,15.954299;45.799523,15.953085600000001;45.799254,15.9518722;45.798985,15.950658800000001;45.798716,15.9494454;45.798447,15.948232;45.798191,15.946825;45.797935,15.945418;45.797679,15.944011;45.7975435,15.94260725;45.797408000000004,15.9412035;45.7972725,15.939799749999999;45.797137,15.938396",3.059377738454865
4,0,272;309;262;310;305;314;288;224;194;109;111;122;123;124;311;254;236;247;231;197;222;264;209;242;233;215;202;201;189;256;206,"45.785588,15.952926;45.786607,15.953615;45.787626,15.954304;45.788645,15.954993;45.78939366666667,15.955518333333334;45.790142333333336,15.956043666666666;45.790891,15.956569;45.79167875,15.957111;45.7924665,15.957653;45.79325425,15.958195;45.794042,15.958737;45.794987,15.959362666666665;45.795932,15.959988333333333;45.796877,15.960614;45.79746825,15.961192;45.7980595,15.96177;45.79865075,15.962347999999999;45.799242,15.962926;45.8001135,15.96333225;45.800985,15.9637385;45.8018565,15.964144749999999;45.802728,15.964551;45.80348725,15.9653235;45.804246500000005,15.966096;45.80500575,15.9668685;45.805765,15.967641;45.8057118,15.968946;45.8056586,15.970251000000001;45.8056054,15.971556;45.8055522,15.972861;45.805499,15.974166;45.80540575,15.975428;45.8053125,15.976690000000001;45.80521925,15.977952;45.805126,15.979214;45.80519625,15.980500000000001;45.8052665,15.981786;45.80533675,15.983072;45.805407,15.984358;45.8064875,15.984125500000001;45.807568,15.983893;45.808483,15.983820666666666;45.809398,15.983748333333335;45.810313,15.983676;45.81122666666667,15.983594666666667;45.81214033333333,15.983513333333335;45.813054,15.983432;45.81330166666667,15.984524333333333;45.813549333333334,15.985616666666667;45.813797,15.986709;45.8137885,15.987938999999999;45.81378,15.989169;45.8137715,15.990399;45.813763,15.991629;45.81403625,15.99306825;45.8143095,15.994507500000001;45.81458275,15.99594675;45.814856,15.997386;45.815172,15.9985984;45.815488,15.9998108;45.815804,16.0010232;45.816120000000005,16.0022356;45.816436,16.003448;45.816711250000004,16.0046095;45.8169865,16.005771;45.81726175,16.006932499999998;45.817537,16.008094;45.8177372,16.0092372;45.8179374,16.0103804;45.8181376,16.0115236;45.818337799999995,16.012666799999998;45.818538,16.01381;45.81887357142857,16.01508;45.81920914285714,16.01635;45.81954471428571,16.01762;45.819880285714284,16.01889;45.820215857142855,16.02016;45.82055142857143,16.02143;45.820887,16.0227;45.8211424,16.023797000000002;45.8213978,16.024894;45.8216532,16.025991;45.8219086,16.027088;45.822164,16.028185;45.822392,16.02945788888889;45.82262,16.030730777777777;45.822848,16.032003666666668;45.823076,16.033276555555556;45.823304,16.034549444444444;45.823532,16.035822333333332;45.82376,16.037095222222224;45.823988,16.03836811111111;45.824216,16.039641;45.824651,16.04101175;45.825086,16.042382500000002;45.825520999999995,16.04375325;45.825956,16.045124;45.826344999999996,16.04601175;45.826734,16.046899500000002;45.827123,16.04778725;45.827512,16.048675;45.82791233333333,16.049894333333334;45.82831266666667,16.051113666666666;45.828713,16.052333;45.828864,16.053742;45.829015,16.055151000000002;45.829166,16.05656;45.82910366666667,16.0577635;45.829041333333336,16.058967;45.828979000000004,16.060170499999998;45.828916666666665,16.061374;45.82885433333333,16.0625775;45.828792,16.063781;45.82874375,16.06523975;45.828695499999995,16.0666985;45.828647249999996,16.06815725;45.828599,16.069616;45.82850966666666,16.070742;45.828420333333334,16.071868000000002;45.828331,16.072994;45.82816966666667,16.07456266666667;45.82800833333333,16.076131333333333;45.827847,16.0777",0.32655870590774727
4,1,206;256;189;201;202;215;233;242;209;264;222;197;231;247;236;254;311;124;123;122;109;194;224;288;314;305;310;262;309;272,"45.827847,16.0777;45.82800833333333,16.076131333333333;45.82816966666667,16.07456266666667;45.828331,16.072994;45.828420333333334,16.071868000000002;45.82850966666666,16.070742;45.828599,16.069616;45.828647249999996,16.06815725;45.828695499999995,16.0666985;45.82874375,16.06523975;45.828792,16.063781;45.82885433333333,16.0625775;45.828916666666665,16.061374;45.828979000000004,16.060170499999998;45.829041333333336,16.058967;45.82910366666667,16.0577635;45.829166,16.05656;45.829015,16.055151000000002;45.828864,16.053742;45.828713,16.052333;45.82831266666667,16.051113666666666;45.82791233333333,16.049894333333334;45.827512,16.048675;45.827123,16.04778725;45.826734,16.046899500000002;45.826344999999996,16.04601175;45.825956,16.045124;45.825520999999995,16.04375325;45.825086,16.042382500000002;45.824651,16.04101175;45.824216,16.039641;45.823988,16.03836811111111;45.82376,16.037095222222224;45.823532,16.035822333333332;45.823304,16.034549444444444;45.823076,16.033276555555556;45.822848,16.032003666666668;45.82262,16.030730777777777;45.822392,16.02945788888889;45.822164,16.028185;45.8219086,16.027088;45.8216532,16.025991;45.8213978,16.024894;45.8211424,16.023797000000002;45.820887,16.0227;45.82055142857143,16.02143;45.820215857142855,16.02016;45.819880285714284,16.01889;45.81954471428571,16.01762;45.81920914285714,16.01635;45.81887357142857,16.01508;45.818538,16.01381;45.818337799999995,16.012666799999998;45.8181376,16.0115236;45.8179374,16.0103804;45.8177372,16.0092372;45.817537,16.008094;45.81726175,16.006932499999998;45.8169865,16.005771;45.816711250000004,16.0046095;45.816436,16.003448;45.816120000000005,16.0022356;45.815804,16.0010232;45.815488,15.9998108;45.815172,15.9985984;45.814856,15.997386;45.81458275,15.99594675;45.8143095,15.994507500000001;45.81403625,15.99306825;45.813763,15.991629;45.8137715,15.990399;45.81378,15.989169;45.8137885,15.987938999999999;45.813797,15.986709;45.813549333333334,15.985616666666667;45.81330166666667,15.984524333333333;45.813054,15.983432;45.81214033333333,15.983513333333335;45.81122666666667,15.983594666666667;45.810313,15.983676;45.809398,15.983748333333335;45.808483,15.983820666666666;45.807568,15.983893;45.8069575,15.98272325;45.806347,15.9815535;45.8057365,15.980383750000001;45.805126,15.979214;45.80521925,15.977952;45.8053125,15.976690000000001;45.80540575,15.975428;45.805499,15.974166;45.8055522,15.972861;45.8056054,15.971556;45.8056586,15.970251000000001;45.8057118,15.968946;45.805765,15.967641;45.80500575,15.9668685;45.804246500000005,15.966096;45.80348725,15.9653235;45.802728,15.964551;45.8018565,15.964144749999999;45.800985,15.9637385;45.8001135,15.96333225;45.799242,15.962926;45.79865075,15.962347999999999;45.7980595,15.96177;45.79746825,15.961192;45.796877,15.960614;45.795932,15.959988333333333;45.794987,15.959362666666665;45.794042,15.958737;45.79325425,15.958195;45.7924665,15.957653;45.79167875,15.957111;45.790891,15.956569;45.790142333333336,15.956043666666666;45.78939366666667,15.955518333333334;45.788645,15.954993;45.787626,15.954304;45.786607,15.953615;45.785588,15.952926",-2.815033947682046
5,0,259;281;246;255;265;230;283;282;223;234;287;309;262;310;305;314;312;1375;248;239;235;284;114;113;297;163;303;247;231;197;222;264;209,"45.794226,15.893441;45.794239000000005,15.894822;45.794252,15.896203;45.794264999999996,15.897584;45.794278,15.898965;45.793889666666665,15.900100666666667;45.79350133333333,15.901236333333333;45.793113,15.902372;45.792867333333334,15.903888333333333;45.79262166666666,15.905404666666668;45.792376,15.906921;45.792246999999996,15.908214000000001;45.792117999999995,15.909507;45.791989,15.9108;45.79186,15.912093;45.791731,15.913386;45.791602,15.914679;45.7912268,15.915865199999999;45.790851599999996,15.9170514;45.7904764,15.9182376;45.7901012,15.9194238;45.789726,15.92061;45.7894875,15.9217905;45.789249,15.922971;45.7890105,15.9241515;45.788772,15.925332000000001;45.7885335,15.9265125;45.788295000000005,15.927693;45.7880565,15.9288735;45.787818,15.930054;45.7878635,15.931277666666666;45.787909,15.932501333333333;45.7879545,15.933724999999999;45.788000000000004,15.934948666666667;45.7880455,15.936172333333333;45.788091,15.937396;45.78805166666667,15.938961666666666;45.788012333333334,15.940527333333334;45.787973,15.942093;45.78803033333333,15.943192333333334;45.78808766666667,15.944291666666667;45.788145,15.945391;45.7877996,15.946746800000001;45.7874542,15.9481026;45.7871088,15.949458400000001;45.7867634,15.9508142;45.786418,15.95217;45.78697475,15.95287575;45.7875315,15.9535815;45.78808825,15.95428725;45.788645,15.954993;45.789768,15.955781;45.790891,15.956569;45.79167875,15.957111;45.7924665,15.957653;45.79325425,15.958195;45.794042,15.958737;45.79475075,15.95920625;45.7954595,15.9596755;45.79616825,15.96014475;45.796877,15.960614;45.797665333333335,15.961384666666666;45.79845366666667,15.962155333333333;45.799242,15.962926;45.7993565,15.964109749999999;45.799471,15.9652935;45.7995855,15.96647725;45.7997,15.967661;45.799627,15.969323;45.799554,15.970985;45.799622666666664,15.972420666666666;45.799691333333335,15.973856333333334;45.79976,15.975292;45.79980425,15.97644275;45.799848499999996,15.977593500000001;45.79989275,15.97874425;45.799937,15.979895;45.8000895,15.981264750000001;45.800242,15.9826345;45.8003945,15.98400425;45.800547,15.985374;45.800601,15.98676;45.800655,15.988146;45.800709,15.989532;45.800768999999995,15.990642666666666;45.800829,15.991753333333333;45.800889,15.992864;45.800948999999996,15.993974666666666;45.801009,15.995085333333332;45.801069,15.996196;45.802073666666665,15.995436666666667;45.80307833333333,15.994677333333334;45.804083,15.993918;45.804840399999996,15.9934738;45.8055978,15.9930296;45.8063552,15.992585400000001;45.8071126,15.9921412;45.80787,15.991697;45.80862,15.992440333333333;45.80937,15.993183666666667;45.81012,15.993927;45.81102,15.994557666666665;45.81192,15.995188333333333;45.81282,15.995819;45.81333657142857,15.996908857142856;45.81385314285715,15.997998714285714;45.81436971428572,15.99908857142857;45.81488628571429,16.000178428571427;45.81540285714286,16.001268285714286;45.81591942857143,16.00235814285714;45.816436,16.003448;45.816711250000004,16.0046095;45.8169865,16.005771;45.81726175,16.006932499999998;45.817537,16.008094;45.8177372,16.0092372;45.8179374,16.0103804;45.8181376,16.0115236;45.818337799999995,16.012666799999998;45.818538,16.01381;45.81887357142857,16.01508;45.81920914285714,16.01635;45.81954471428571,16.01762;45.819880285714284,16.01889;45.820215857142855,16.02016;45.82055142857143,16.02143;45.820887,16.0227;45.82120625,16.02407125;45.8215255,16.0254425;45.82184475,16.026813750000002;45.822164,16.028185;45.822392,16.02945788888889;45.82262,16.030730777777777;45.822848,16.032003666666668;45.823076,16.033276555555556;45.823304,16.034549444444444;45.823532,16.035822333333332;45.82376,16.037095222222224;45.823988,16.03836811111111;45.824216,16.039641",0.20232331139263593
